date,date,value,5. volume
1970-01-01 00:00:00.000000168,2011-06-01,4.54,0
1970-01-01 00:00:00.000000169,2011-05-01,4.31,0
1970-01-01 00:00:00.000000170,2011-04-01,4.24,0
1970-01-01 00:00:00.000000171,2011-03-01,3.97,0
1970-01-01 00:00:00.000000172,2011-02-01,4.09,0
1970-01-01 00:00:00.000000173,2011-01-01,4.49,0
1970-01-01 00:00:00.000000174,2010-12-01,4.25,0
1970-01-01 00:00:00.000000175,2010-11-01,3.71,0
1970-01-01 00:00:00.000000176,2010-10-01,3.43,0
1970-01-01 00:00:00.000000177,2010-09-01,3.89,0
1970-01-01 00:00:00.000000178,2010-08-01,4.32,0
1970-01-01 00:00:00.000000179,2010-07-01,4.63,0
1970-01-01 00:00:00.000000180,2010-06-01,4.80,0
1970-01-01 00:00:00.000000181,2010-05-01,4.14,0
1970-01-01 00:00:00.000000182,2010-04-01,4.03,0
1970-01-01 00:00:00.000000183,2010-03-01,4.29,0
1970-01-01 00:00:00.000000184,2010-02-01,5.32,0
1970-01-01 00:00:00.000000185,2010-01-01,5.83,0
1970-01-01 00:00:00.000000186,2009-12-01,5.35,0
1970-01-01 00:00:00.000000187,2009-11-01,3.66,0
1970-01-01 00:00:00.000000188,2009-10-01,4.01,0
1970-01-01 00:00:00.000000189,2009-09-01,2.99,0
1970-01-01 00:00:00.000000190,2009-08-01,3.14,0
1970-01-01 00:00:00.000000191,2009-07-01,3.38,0
1970-01-01 00:00:00.000000192,2009-06-01,3.80,0
1970-01-01 00:00:00.000000193,2009-05-01,3.83,0
1970-01-01 00:00:00.000000194,2009-04-01,3.50,0
1970-01-01 00:00:00.000000195,2009-03-01,3.96,0
1970-01-01 00:00:00.000000196,2009-02-01,4.52,0
1970-01-01 00:00:00.000000197,2009-01-01,5.24,0
1970-01-01 00:00:00.000000198,2008-12-01,5.82,0
1970-01-01 00:00:00.000000199,2008-11-01,6.68,0
1970-01-01 00:00:00.000000200,2008-10-01,6.74,0
1970-01-01 00:00:00.000000201,2008-09-01,7.67,0
1970-01-01 00:00:00.000000202,2008-08-01,8.26,0
1970-01-01 00:00:00.000000203,2008-07-01,11.09,0
1970-01-01 00:00:00.000000204,2008-06-01,12.69,0
1970-01-01 00:00:00.000000205,2008-05-01,11.27,0
1970-01-01 00:00:00.000000206,2008-04-01,10.18,0
1970-01-01 00:00:00.000000207,2008-03-01,9.41,0
1970-01-01 00:00:00.000000208,2008-02-01,8.54,0
1970-01-01 00:00:00.000000209,2008-01-01,7.99,0
1970-01-01 00:00:00.000000210,2007-12-01,7.11,0
1970-01-01 00:00:00.000000211,2007-11-01,7.10,0
1970-01-01 00:00:00.000000212,2007-10-01,6.74,0
1970-01-01 00:00:00.000000213,2007-09-01,6.08,0
1970-01-01 00:00:00.000000214,2007-08-01,6.22,0
1970-01-01 00:00:00.000000215,2007-07-01,6.22,0
1970-01-01 00:00:00.000000216,2007-06-01,7.35,0
1970-01-01 00:00:00.000000217,2007-05-01,7.64,0
1970-01-01 00:00:00.000000218,2007-04-01,7.60,0
1970-01-01 00:00:00.000000219,2007-03-01,7.11,0
1970-01-01 00:00:00.000000220,2007-02-01,8.00,0
1970-01-01 00:00:00.000000221,2007-01-01,6.55,0
1970-01-01 00:00:00.000000222,2006-12-01,6.73,0
1970-01-01 00:00:00.000000223,2006-11-01,7.41,0
1970-01-01 00:00:00.000000224,2006-10-01,5.85,0
1970-01-01 00:00:00.000000225,2006-09-01,4.90,0
1970-01-01 00:00:00.000000226,2006-08-01,7.14,0
1970-01-01 00:00:00.000000227,2006-07-01,6.17,0
1970-01-01 00:00:00.000000228,2006-06-01,6.21,0
1970-01-01 00:00:00.000000229,2006-05-01,6.25,0
1970-01-01 00:00:00.000000230,2006-04-01,7.16,0
1970-01-01 00:00:00.000000231,2006-03-01,6.89,0
1970-01-01 00:00:00.000000232,2006-02-01,7.54,0
1970-01-01 00:00:00.000000233,2006-01-01,8.69,0
1970-01-01 00:00:00.000000234,2005-12-01,13.05,0
1970-01-01 00:00:00.000000235,2005-11-01,10.30,0
1970-01-01 00:00:00.000000236,2005-10-01,13.42,0
